category,code,name,description,characteristics,priority
Hard Legal Sources,CONSTITUTIONAL_LAW,Constitutional Law,Constitutional law / fundamental principles,"Rare in databases but exists (e.g. shareholder equality)",1
Hard Legal Sources,LAW_MANDATORY,Mandatory Law,Mandatory law (public order),"Cannot be overridden. Examples: director liability and minimum thresholds",2
Hard Legal Sources,LAW_DEFAULT,Default Law,Suppletive law,"Applies in the absence of statutory choice. Example: default majority in SARL",3
Internal Company Sources,STATUTES,Statutes,Founding act,"Takes precedence over suppletive law and subordinate to mandatory law",4
Internal Company Sources,INTERNAL_RULES,Internal Rules,Internal regulations (by-laws),"Specifies operations and subordinate to statutes. Very common internationally",5
Internal Company Sources,BOARD_DECISION,Board Decision,Board or Management Board decisions,"Can set operational rules but not opposable to shareholders",6
Contractual Sources,SHAREHOLDERS_AGREEMENT,Shareholders Agreement,Shareholders' pact,"Real governance but not opposable to the company (depending on country)",7
Contractual Sources,INVESTMENT_AGREEMENT,Investment Agreement,Term sheet SHA SPA,"Veto rights and board seats. Often temporary but structuring",8
Contractual Sources,JOINT_VENTURE_AGREEMENT,Joint Venture Agreement,Shared governance case,Rules often stronger than statutes,9
Institutional or External Sources,REGULATORY_RULE,Regulatory Rule,AMF ACPR SEC FCA regulations,Governance imposed by a regulator,10
Institutional or External Sources,LISTING_RULE,Listing Rule,Market rules (NYSE Euronext etc.),Mandatory committees and independent directors,11
Soft Law Normative Sources,GOVERNANCE_CODE,Governance Code,AFEP-MEDEF codes Middlenext UK Code,"Comply or explain. Non-mandatory but structuring",12
Soft Law Normative Sources,ESG_STANDARD,ESG Standard,GRI TCFD ISSB,Indirect impact on governance,13
Shareholder-Related Sources,STATE_SHAREHOLDER_RULE,State Shareholder Rule,Golden share,Specific state rights,14
Shareholder-Related Sources,FAMILY_CHARTER,Family Charter,Family charter,Informal but real governance,15
Judicial Sources,CASE_LAW,Case Law,Jurisprudence,"Binding interpretation and varies by country",16
Temporal or Exceptional Sources,TEMPORARY_RULE,Temporary Rule,Transitional rule,Example: post-fundraising period,17
Temporal or Exceptional Sources,EXCEPTIONAL_DECISION,Exceptional Decision,Ad hoc decision,Crisis or restructuring,18
